gene_name	index
SERPINC1	1492
RC3H1	1493
RABGAP1L	1494
GPR52	1495
CACYBP	1496
MRPS14	1497
TNN	1498
KIAA0040	1499
TNR	1500
COP1	1501
PAPPA2	1502
ASTN1	1503
BRINP2	1504
SEC16B	1505
RASAL2	1506
CLEC20A	1507
TEX35	1508
RALGPS2	1509
ANGPTL1	1510
FAM20B	1511
TOR3A	1512
ABL2	1513
SOAT1	1514
AXDND1	1515
NPHS2	1516
TDRD5	1517
FAM163A	1518
TOR1AIP2	1519
TOR1AIP1	1520
CEP350	1521
QSOX1	1522
LHX4	1523
ACBD6	1524
XPR1	1525
KIAA1614	1526
STX6	1527
MR1	1528
IER5	1529
CACNA1E	1530
ZNF648	1531
GLUL	1532
TEDDM1	1533
RGSL1	1534
RNASEL	1535
RGS16	1536
RGS8	1537
NPL	1538
DHX9	1539
SHCBP1L	1540
LAMC1	1541
LAMC2	1542
NMNAT2	1543
SMG7	1544
NCF2	1545
ARPC5	1546
RGL1	1547
APOBEC4	1548
COLGALT2	1549
TSEN15	1550
C1orf21	1551
EDEM3	1552
NIBAN1	1553
RNF2	1554
TRMT1L	1555
SWT1	1556
IVNS1ABP	1557
HMCN1	1558
PRG4	1559
TPR	1560
ODR4	1561
PDC	1562
PTGS2	1563
PLA2G4A	1564
BRINP3	1565
RGS18	1566
RGS21	1567
RGS1	1568
RGS13	1569
RGS2	1570
UCHL5	1571
RO60	1572
GLRX2	1573
CDC73	1574
B3GALT2	1575
KCNT2	1576
CFH	1577
CFHR3	1578
CFHR1	1579
CFHR4	1580
CFHR2	1581
CFHR5	1582
F13B	1583
ASPM	1584
ZBTB41	1585
CRB1	1586
DENND1B	1587
C1orf53	1588
LHX9	1589
NEK7	1590
ATP6V1G3	1591
PTPRC	1592
NR5A2	1593
ZNF281	1594
KIF14	1595
DDX59	1596
CAMSAP2	1597
GPR25	1598
INAVA	1599
KIF21B	1600
CACNA1S	1601
ASCL5	1602
TMEM9	1603
IGFN1	1604
PKP1	1605
TNNT2	1606
LAD1	1607
TNNI1	1608
PHLDA3	1609
CSRP1	1610
NAV1	1611
IPO9	1612
SHISA4	1613
LMOD1	1614
TIMM17A	1615
RNPEP	1616
ELF3	1617
GPR37L1	1618
ARL8A	1619
PTPN7	1620
LGR6	1621
UBE2T	1622
PPP1R12B	1623
SYT2	1624
KDM5B	1625
RABIF	1626
KLHL12	1627
ADIPOR1	1628
CYB5R1	1629
TMEM183A	1630
PPFIA4	1631
MYOG	1632
ADORA1	1633
MYBPH	1634
CHI3L1	1635
CHIT1	1636
BTG2	1637
FMOD	1638
PRELP	1639
OPTC	1640
ATP2B4	1641
LAX1	1642
ZC3H11A	1643
ZBED6	1644
SNRPE	1645
SOX13	1646
ETNK2	1647
REN	1648
KISS1	1649
GOLT1A	1650
PLEKHA6	1651
PPP1R15B	1652
PIK3C2B	1653
MDM4	1654
LRRN2	1655
NFASC	1656
CNTN2	1657
TMEM81	1658
RBBP5	1659
DSTYK	1660
TMCC2	1661
NUAK2	1662
KLHDC8A	1663
LEMD1	1664
BLACAT1	1665
CDK18	1666
MFSD4A	1667
